geoname_city_4698,maxmind_city_11286,true
geoname_city_21305,maxmind_city_11285,false
geoname_city_21305,maxmind_city_11286,false
geoname_city_21305,maxmind_city_11287,true
geoname_city_4700,maxmind_city_11284,true
geoname_city_4840,maxmind_city_3696,true
geoname_city_4840,maxmind_city_3697,false
geoname_city_5121,maxmind_city_4640,false
geoname_city_5121,maxmind_city_4503,true
geoname_city_5113,maxmind_city_4640,true
geoname_city_4953,maxmind_city_6289,false
geoname_city_4953,maxmind_city_6294,false
geoname_city_4699,maxmind_city_6294,false
geoname_city_4699,maxmind_city_6293,false
geoname_city_4953,maxmind_city_6291,true
geoname_city_20439,maxmind_city_6293,false
geoname_city_20716,maxmind_city_6293,true
geoname_city_4699,maxmind_city_6289,true
geoname_city_3245,maxmind_city_15657,true
geoname_city_3245,maxmind_city_15034,false
geoname_city_4755,maxmind_city_9803,true
geoname_city_4755,maxmind_city_9806,false
geoname_city_13953,maxmind_city_13378,false
geoname_city_13953,maxmind_city_13379,false
geoname_city_13953,maxmind_city_13380,false
geoname_city_15370,maxmind_city_11754,true
geoname_city_7470,maxmind_city_13378,true
geoname_city_21557,maxmind_city_13379,false
geoname_city_21557,maxmind_city_13380,true
geoname_city_21584,maxmind_city_7339,true
geoname_city_21584,maxmind_city_7338,false
geoname_city_21761,axmind_city_7339,false
geoname_city_23014,maxmind_city_8352,true
geoname_city_23015,maxmind_city_8352,true
